"","X.6","X.5","X.4","X.3","X.2","X.1","X","age","animation_time_between_frames","appeared_in_n_back_task","condition","date","difficulty","difficulty_category","image_folder_path","image_name","n_back_block_total","n_back_blocks_reversed","n_back_display_time","n_back_focal_image_height","n_back_image_overlap","n_back_interstimulus_interval","n_back_max_difficulty","n_back_max_errors_to_raise_difficulty","n_back_min_errors_to_lower_difficulty","n_back_practice_max_difficulty","n_back_prime_image_height","n_back_prime_list_name","n_back_start_difficulty","n_back_task","n_back_task_critical_age","output_location","participant","participant_num","position","practice_run","prime_image_display_time","prime_task","reaction_time","response_time","set","user_response","younger_than_or_at_critical_age","response_correct","response_uncertain"
"1",1,1,1,1,1,1,1,17,1,0,0,"Tue Oct  2 10:23:35 2018",8,"old","images/prime/task/B/bowl","bowl",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A020",20,0,1,1.5,1,0.725765943527222,NA,"B","bowl",0,1,0
"2",2,2,2,2,2,2,2,17,1,1,0,"Tue Oct  2 10:23:35 2018",6,"old","images/prime/task/A/clock","clock",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A020",20,1,1,1.5,1,0.667235136032104,NA,"A","clock",0,1,0
"3",3,3,3,3,3,3,3,17,1,1,0,"Tue Oct  2 10:23:35 2018",5,"old","images/prime/task/A/bed","bed",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A020",20,2,1,1.5,1,0.915446043014526,NA,"A","bed",0,1,0
"4",4,4,4,4,4,4,4,17,1,1,0,"Tue Oct  2 10:23:35 2018",7,"old","images/prime/task/A/monkey","monkey",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A020",20,3,1,1.5,1,0.991622924804688,NA,"A","monkey",0,1,0
"5",5,5,5,5,5,5,5,17,1,0,0,"Tue Oct  2 10:23:35 2018",5,"old","images/prime/task/B/ear","ear",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A020",20,4,1,1.5,1,1.38487410545349,NA,"B","ear",0,1,0
"6",6,6,6,6,6,6,6,17,1,1,0,"Tue Oct  2 10:23:35 2018",7,"old","images/prime/task/A/penguin","penguin",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A020",20,5,1,1.5,1,0.531090021133423,NA,"A","penguin",0,1,0
"7",7,7,7,7,7,7,7,17,1,0,0,"Tue Oct  2 10:23:35 2018",7,"old","images/prime/task/B/pumpkin","pumpkin",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A020",20,6,1,1.5,1,0.391813039779663,NA,"B","pumpkin",0,1,0
"8",8,8,8,8,8,8,8,17,1,0,0,"Tue Oct  2 10:23:35 2018",7,"old","images/prime/task/B/sock","sock",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A020",20,7,1,1.5,1,0.72324013710022,NA,"B","sock",0,1,0
"9",9,9,9,9,9,9,9,17,1,0,0,"Tue Oct  2 10:23:35 2018",8,"old","images/prime/task/B/candle","candle",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A020",20,8,1,1.5,1,1.10665702819824,NA,"B","candle",0,1,0
"10",10,10,10,10,10,10,10,17,1,1,0,"Tue Oct  2 10:23:35 2018",6,"old","images/prime/task/A/fish","fish",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A020",20,9,1,1.5,1,0.833950042724609,NA,"A","fish",0,1,0
"11",11,11,11,11,11,11,11,17,1,0,0,"Tue Oct  2 10:23:35 2018",7,"old","images/prime/task/B/flower","flower",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A020",20,10,1,1.5,1,1.16932821273804,NA,"B","flower",0,1,0
"12",12,12,12,12,12,12,12,17,1,1,0,"Tue Oct  2 10:23:35 2018",4,"old","images/prime/task/A/kite","kite",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A020",20,11,1,1.5,1,0.527283906936646,NA,"A","kite",0,1,0
"13",13,13,13,13,13,13,13,17,1,1,0,"Tue Oct  2 10:23:35 2018",5,"old","images/prime/task/A/snowman","snowman",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A020",20,12,1,1.5,1,1.34903621673584,NA,"A","snowman",0,1,0
