,X,age,animation_time_between_frames,appeared_in_n_back_task,condition,date,difficulty,difficulty_category,image_folder_path,image_name,n_back_block_total,n_back_blocks_reversed,n_back_display_time,n_back_focal_image_height,n_back_image_overlap,n_back_interstimulus_interval,n_back_max_difficulty,n_back_max_errors_to_raise_difficulty,n_back_min_errors_to_lower_difficulty,n_back_practice_max_difficulty,n_back_prime_image_height,n_back_prime_list_name,n_back_start_difficulty,n_back_task,n_back_task_critical_age,output_location,participant,participant_num,position,practice_run,prime_image_display_time,prime_task,reaction_time,response_time,set,user_response,younger_than_or_at_critical_age,response_correct,response_uncertain
1,1,18,1,0,3,Mon Oct  1 17:02:00 2018,4,old,images/prime/task/A/table,table,4,0,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,A019,19,0,1,1.5,1,1.253653049,NA,A,table,0,1,0
2,2,18,1,0,3,Mon Oct  1 17:02:00 2018,5,old,images/prime/task/A/snowman,snowman,4,0,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,A019,19,1,1,1.5,1,1.107046127,NA,A,snowman,0,1,0
3,3,18,1,0,3,Mon Oct  1 17:02:00 2018,5,old,images/prime/task/A/hanger,hanger,4,0,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,A019,19,2,1,1.5,1,0.388161898,NA,A,hanger,0,1,0
4,4,18,1,1,3,Mon Oct  1 17:02:00 2018,4,old,images/prime/task/B/kangaroo,kangaroo,4,0,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,A019,19,3,1,1.5,1,1.113754034,NA,B,kangaroo,0,1,0
5,5,18,1,1,3,Mon Oct  1 17:02:00 2018,4,old,images/prime/task/B/chair,chair,4,0,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,A019,19,4,1,1.5,1,0.17076993,NA,B,chair,0,1,0
6,6,18,1,0,3,Mon Oct  1 17:02:00 2018,6,old,images/prime/task/A/tree,tree,4,0,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,A019,19,5,1,1.5,1,1.076556206,NA,A,tree,0,1,0
7,7,18,1,1,3,Mon Oct  1 17:02:00 2018,5,old,images/prime/task/B/umbrella,umbrella,4,0,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,A019,19,6,1,1.5,1,0.095596075,NA,B,umbrella,0,1,0
8,8,18,1,1,3,Mon Oct  1 17:02:00 2018,5,old,images/prime/task/B/sock,sock,4,0,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,A019,19,7,1,1.5,1,1.067033052,NA,B,sock,0,1,0
9,9,18,1,1,3,Mon Oct  1 17:02:00 2018,7,old,images/prime/task/B/mountain,mountain,4,0,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,A019,19,8,1,1.5,1,0.597245932,NA,B,mountain,0,1,0
10,10,18,1,1,3,Mon Oct  1 17:02:00 2018,5,old,images/prime/task/B/elephant,elephant,4,0,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,A019,19,9,1,1.5,1,1.171575069,NA,B,elephant,0,1,0
11,11,18,1,1,3,Mon Oct  1 17:02:00 2018,5,old,images/prime/task/B/guitar,guitar,4,0,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,A019,19,10,1,1.5,1,1.183845997,NA,B,guitar,0,1,0
12,12,18,1,0,3,Mon Oct  1 17:02:00 2018,6,old,images/prime/task/A/clock,clock,4,0,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,A019,19,11,1,1.5,1,0.834197998,NA,A,clock,0,1,0
13,13,18,1,0,3,Mon Oct  1 17:02:00 2018,6,old,images/prime/task/A/penguin,penguin,4,0,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,A019,19,12,1,1.5,1,1.072694063,NA,A,penguin,0,1,0
14,14,18,1,1,3,Mon Oct  1 17:02:00 2018,5,old,images/prime/task/B/car,car,4,0,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,A019,19,13,1,1.5,1,0.624050856,NA,B,car,0,1,0
15,15,18,1,0,3,Mon Oct  1 17:02:00 2018,5,old,images/prime/task/A/monkey,monkey,4,0,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,A019,19,14,1,1.5,1,1.21468091,NA,A,monkey,0,1,0
16,16,18,1,1,3,Mon Oct  1 17:02:00 2018,5,old,images/prime/task/B/glasses,glasses,4,0,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,A019,19,15,1,1.5,1,1.490067005,NA,B,glasses,0,1,0
17,17,18,1,1,3,Mon Oct  1 17:02:00 2018,7,old,images/prime/task/B/carrot,carrot,4,0,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,A019,19,16,1,1.5,1,0.260914087,NA,B,carrot,0,1,0
18,18,18,1,0,3,Mon Oct  1 17:02:00 2018,6,old,images/prime/task/A/piano,piano,4,0,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,A019,19,17,1,1.5,1,0.41736722,NA,A,piano,0,1,0
19,19,18,1,1,3,Mon Oct  1 17:02:00 2018,5,old,images/prime/task/B/apple,apple,4,0,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,A019,19,18,1,1.5,1,1.380121946,NA,B,apple,0,1,0
20,20,18,1,0,3,Mon Oct  1 17:02:00 2018,5,old,images/prime/task/A/ladder,ladder,4,0,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,A019,19,19,1,1.5,1,1.360831976,NA,A,ladder,0,1,0
21,21,18,1,0,3,Mon Oct  1 17:02:00 2018,8,old,images/prime/task/A/pear,pear,4,0,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,A019,19,20,1,1.5,1,0.380800962,NA,A,pear,0,1,0
22,22,18,1,1,3,Mon Oct  1 17:02:00 2018,6,old,images/prime/task/B/bird,bird,4,0,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,A019,19,21,1,1.5,1,0.253859043,NA,B,bird,0,1,0
