"","X","age","animation_time_between_frames","appeared_in_n_back_task","condition","date","difficulty","difficulty_category","image_folder_path","image_name","n_back_block_total","n_back_blocks_reversed","n_back_display_time","n_back_focal_image_height","n_back_image_overlap","n_back_interstimulus_interval","n_back_max_difficulty","n_back_max_errors_to_raise_difficulty","n_back_min_errors_to_lower_difficulty","n_back_practice_max_difficulty","n_back_prime_image_height","n_back_prime_list_name","n_back_start_difficulty","n_back_task","n_back_task_critical_age","output_location","participant","participant_num","position","practice_run","prime_image_display_time","prime_task","reaction_time","response_time","set","user_response","younger_than_or_at_critical_age","response_correct","response_uncertain"
"1",1,18,1,1,0,"Tue Oct  9 12:29:28 2018",5,"old","images/prime/task/A/cat","cat",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A024",24,0,1,1.5,1,1.22213888168,NA,"A","cat",0,1,0
"2",2,18,1,0,0,"Tue Oct  9 12:29:28 2018",7,"old","images/prime/task/B/ball","ball",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A024",24,1,1,1.5,1,0.642654895782,NA,"B","ball",0,1,0
"3",3,18,1,0,0,"Tue Oct  9 12:29:28 2018",7,"old","images/prime/task/B/carrot","carrot",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A024",24,2,1,1.5,1,1.0661251545,NA,"B","carrot",0,1,0
"4",4,18,1,1,0,"Tue Oct  9 12:29:28 2018",6,"old","images/prime/task/A/banana","banana",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A024",24,3,1,1.5,1,0.57688999176,NA,"A","banana",0,1,0
"5",5,18,1,0,0,"Tue Oct  9 12:29:28 2018",6,"old","images/prime/task/B/kangaroo","kangaroo",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A024",24,4,1,1.5,1,1.43199706078,NA,"B","kangaroo",0,1,0
"6",6,18,1,0,0,"Tue Oct  9 12:29:28 2018",7,"old","images/prime/task/B/sandwich","sandwich",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A024",24,5,1,1.5,1,1.4995868206,NA,"B","sandwich",0,1,0
"7",7,18,1,0,0,"Tue Oct  9 12:29:28 2018",6,"old","images/prime/task/B/umbrella","umbrella",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A024",24,6,1,1.5,1,0.896030187607,NA,"B","umbrella",0,1,0
"8",8,18,1,1,0,"Tue Oct  9 12:29:28 2018",7,"old","images/prime/task/A/fish","fish",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A024",24,7,1,1.5,1,0.493590116501,NA,"A","fish",0,1,0
"9",9,18,1,0,0,"Tue Oct  9 12:29:28 2018",4,"old","images/prime/task/B/glasses","glasses",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A024",24,8,1,1.5,1,1.0306289196,NA,"B","glasses",0,1,0
"10",10,18,1,0,0,"Tue Oct  9 12:29:28 2018",4,"old","images/prime/task/B/chair","chair",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A024",24,9,1,1.5,1,0.636744976044,NA,"B","chair",0,1,0
