"","age","animation_time_between_frames","appeared_in_n_back_task","condition","date","difficulty","difficulty_category","image_folder_path","image_name","n_back_block_total","n_back_blocks_reversed","n_back_display_time","n_back_focal_image_height","n_back_image_overlap","n_back_interstimulus_interval","n_back_max_difficulty","n_back_max_errors_to_raise_difficulty","n_back_min_errors_to_lower_difficulty","n_back_practice_max_difficulty","n_back_prime_image_height","n_back_prime_list_name","n_back_start_difficulty","n_back_task","n_back_task_critical_age","output_location","participant","participant_num","position","practice_run","prime_image_display_time","prime_task","reaction_time","response_time","set","user_response","younger_than_or_at_critical_age","response_correct","response_uncertain"
"1",19,1,1,2,"Fri Apr  5 17:42:29 2019",7,"old","images/prime/task/B/sandwich","sandwich",4,1,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","A082",82,0,1,1.5,1,0.979815006256,NA,"B","sandwitch",0,1,0
"2",19,1,0,2,"Fri Apr  5 17:42:29 2019",6,"old","images/prime/task/A/clock","clock",4,1,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","A082",82,1,1,1.5,1,0.630126953125,NA,"A","clock",0,1,0
"3",19,1,0,2,"Fri Apr  5 17:42:29 2019",5,"old","images/prime/task/A/bed","bed",4,1,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","A082",82,2,1,1.5,1,1.12496113777,NA,"A","bed",0,1,0
"4",19,1,1,2,"Fri Apr  5 17:42:29 2019",6,"old","images/prime/task/B/bird","bird",4,1,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","A082",82,3,1,1.5,1,0.667269945145,NA,"B","bird",0,1,0
"5",19,1,0,2,"Fri Apr  5 17:42:29 2019",6,"old","images/prime/task/A/shoe","shoe",4,1,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","A082",82,4,1,1.5,1,0.825553178787,NA,"A","shoe",0,1,0
"6",19,1,0,2,"Fri Apr  5 17:42:29 2019",5,"old","images/prime/task/A/snowman","snowman",4,1,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","A082",82,5,1,1.5,1,0.931266069412,NA,"A","snowman",0,1,0
"7",19,1,0,2,"Fri Apr  5 17:42:29 2019",7,"old","images/prime/task/A/whistle","whistle",4,1,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","A082",82,6,1,1.5,1,0.727500915527,NA,"A","whistle",0,1,0
"8",19,1,0,2,"Fri Apr  5 17:42:29 2019",6,"old","images/prime/task/A/truck","truck",4,1,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","A082",82,7,1,1.5,1,1.1154961586,NA,"A","truck",0,1,0
"9",19,1,1,2,"Fri Apr  5 17:42:29 2019",5,"old","images/prime/task/B/pumpkin","pumpkin",4,1,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","A082",82,8,1,1.5,1,1.29399991035,NA,"B","pumpkin",0,1,0
"10",19,1,0,2,"Fri Apr  5 17:42:29 2019",7,"old","images/prime/task/A/piano","piano",4,1,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","A082",82,9,1,1.5,1,0.79096698761,NA,"A","piano",0,1,0
"11",19,1,0,2,"Fri Apr  5 17:42:29 2019",6,"old","images/prime/task/A/fish","fish",4,1,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","A082",82,10,1,1.5,1,0.942764997482,NA,"A","fish",0,1,0
"12",19,1,1,2,"Fri Apr  5 17:42:29 2019",5,"old","images/prime/task/B/ear","ear",4,1,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","A082",82,11,1,1.5,1,0.847898006439,NA,"B","ear",0,1,0
"13",19,1,0,2,"Fri Apr  5 17:42:29 2019",4,"old","images/prime/task/A/scissors","scissors",4,1,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","A082",82,12,1,1.5,1,1.19205093384,NA,"A","scissors",0,1,0
"14",19,1,1,2,"Fri Apr  5 17:42:29 2019",6,"old","images/prime/task/B/car","car",4,1,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","A082",82,13,1,1.5,1,0.127674102783,NA,"B","car",0,1,0
"15",19,1,1,2,"Fri Apr  5 17:42:29 2019",5,"old","images/prime/task/B/bowl","bowl",4,1,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","A082",82,14,1,1.5,1,1.02410316467,NA,"B","bowl",0,1,0
"16",19,1,1,2,"Fri Apr  5 17:42:29 2019",6,"old","images/prime/task/B/key","key",4,1,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","A082",82,15,1,1.5,1,0.884142875671,NA,"B","key",0,1,0
"17",19,1,1,2,"Fri Apr  5 17:42:29 2019",5,"old","images/prime/task/B/guitar","guitar",4,1,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","A082",82,16,1,1.5,1,1.29495191574,NA,"B","guitar",0,1,0
"18",19,1,1,2,"Fri Apr  5 17:42:29 2019",6,"old","images/prime/task/B/ball","ball",4,1,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","A082",82,17,1,1.5,1,0.903043031693,NA,"B","ball",0,1,0
"19",19,1,0,2,"Fri Apr  5 17:42:29 2019",5,"old","images/prime/task/A/kite","kite",4,1,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","A082",82,18,1,1.5,1,0.835073947906,NA,"A","kite",0,1,0
"20",19,1,1,2,"Fri Apr  5 17:42:29 2019",6,"old","images/prime/task/B/carrot","carrot",4,1,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","A082",82,19,1,1.5,1,1.13910007477,NA,"B","carrot",0,1,0
"21",19,1,1,2,"Fri Apr  5 17:42:29 2019",6,"old","images/prime/task/B/flower","flower",4,1,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","A082",82,20,1,1.5,1,1.0192990303,NA,"B","flower",0,1,0
"22",19,1,1,2,"Fri Apr  5 17:42:29 2019",6,"old","images/prime/task/B/umbrella","umbrella",4,1,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","A082",82,21,1,1.5,1,0.499043941498,NA,"B","umbrella",0,1,0
"23",19,1,1,2,"Fri Apr  5 17:42:29 2019",6,"old","images/prime/task/B/glasses","glasses",4,1,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","A082",82,22,1,1.5,1,1.04442691803,NA,"B","glasses",0,1,0
"24",19,1,0,2,"Fri Apr  5 17:42:29 2019",6,"old","images/prime/task/A/cat","cat",4,1,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","A082",82,23,1,1.5,1,0.339387893677,NA,"A","cat",0,1,0
"25",19,1,0,2,"Fri Apr  5 17:42:29 2019",6,"old","images/prime/task/A/foot","foot",4,1,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","A082",82,24,1,1.5,1,0.456737041473,NA,"A","foot",0,1,0
"26",19,1,1,2,"Fri Apr  5 17:42:29 2019",6,"old","images/prime/task/B/mountain","mountain",4,1,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","A082",82,25,1,1.5,1,0.264271974564,NA,"B","mountain",0,1,0
"27",19,1,1,2,"Fri Apr  5 17:42:29 2019",5,"old","images/prime/task/B/elephant","elephant",4,1,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","A082",82,26,1,1.5,1,1.09174585342,NA,"B","elephant",0,1,0
