,age,animation_time_between_frames,appeared_in_n_back_task,condition,date,difficulty,difficulty_category,image_folder_path,image_name,n_back_block_total,n_back_blocks_reversed,n_back_display_time,n_back_focal_image_height,n_back_image_overlap,n_back_interstimulus_interval,n_back_max_difficulty,n_back_max_errors_to_raise_difficulty,n_back_min_errors_to_lower_difficulty,n_back_practice_max_difficulty,n_back_prime_image_height,n_back_prime_list_name,n_back_start_difficulty,n_back_task,n_back_task_critical_age,output_location,participant,participant_num,position,practice_run,prime_image_display_time,prime_task,reaction_time,response_time,set,user_response,younger_than_or_at_critical_age,response_correct,response_uncertain
1,7,1,0,0,Sun May 19 12:50:52 2019,5,old,images/prime/task/B/bird,bird,4,1,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,C1072,1072,0,1,1.5,1,1.215913057,NA,B,button,0,0,0
2,7,1,1,0,Sun May 19 12:50:52 2019,4,old,images/prime/task/A/horse,horse,4,1,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,C1072,1072,1,1,1.5,1,0.315583944,NA,A,door,0,0,0
3,7,1,0,0,Sun May 19 12:50:52 2019,6,old,images/prime/task/B/glasses,glasses,4,1,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,C1072,1072,2,1,1.5,1,0.556146145,NA,B,elephant,0,0,0
4,7,1,0,0,Sun May 19 12:50:52 2019,6,old,images/prime/task/B/elephant,elephant,4,1,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,C1072,1072,3,1,1.5,1,0.637963057,NA,B,camel,0,0,0
5,7,1,0,0,Sun May 19 12:50:52 2019,6,old,images/prime/task/B/ear,ear,4,1,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,C1072,1072,4,1,1.5,1,1.495622873,NA,B,ear,0,1,0
6,7,1,0,0,Sun May 19 12:50:52 2019,6,old,images/prime/task/B/car,car,4,1,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,C1072,1072,5,1,1.5,1,1.327544212,NA,B,car,0,1,0
7,7,1,1,0,Sun May 19 12:50:52 2019,5,old,images/prime/task/A/monkey,monkey,4,1,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,C1072,1072,6,1,1.5,1,1.010582924,NA,A,chair,0,0,0
8,7,1,1,0,Sun May 19 12:50:52 2019,7,old,images/prime/task/A/piano,piano,4,1,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,C1072,1072,7,1,1.5,1,0.102547169,NA,A,house,0,0,0
9,7,1,1,0,Sun May 19 12:50:52 2019,7,old,images/prime/task/A/snowman,snowman,4,1,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,C1072,1072,8,1,1.5,1,0.313487053,NA,A,snowman,0,1,0
10,7,1,1,0,Sun May 19 12:50:52 2019,7,old,images/prime/task/A/foot,foot,4,1,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,C1072,1072,9,1,1.5,1,0.648944855,NA,A,foot,0,1,0
11,7,1,1,0,Sun May 19 12:50:52 2019,6,old,images/prime/task/A/table,table,4,1,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,C1072,1072,10,1,1.5,1,0.39437294,NA,A,seven,0,0,0
12,7,1,0,0,Sun May 19 12:50:52 2019,3,old,images/prime/task/B/sock,sock,4,1,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,C1072,1072,11,1,1.5,1,0.698548079,NA,B,table,0,0,0
