,X,age,animation_time_between_frames,appeared_in_n_back_task,condition,date,difficulty,difficulty_category,image_folder_path,image_name,n_back_block_total,n_back_blocks_reversed,n_back_display_time,n_back_focal_image_height,n_back_image_overlap,n_back_interstimulus_interval,n_back_max_difficulty,n_back_max_errors_to_raise_difficulty,n_back_min_errors_to_lower_difficulty,n_back_practice_max_difficulty,n_back_prime_image_height,n_back_prime_list_name,n_back_start_difficulty,n_back_task,n_back_task_critical_age,output_location,participant,participant_num,position,practice_run,prime_image_display_time,prime_task,reaction_time,response_time,set,user_response,younger_than_or_at_critical_age,response_correct,response_uncertain
1,1,8,1,1,1,Sat May 25 15:50:04 2019,5,old,images/prime/task/A/truck,truck,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,C1081,1081,0,1,1.5,1,1.232168198,NA,A,truck,0,1,0
2,2,8,1,0,1,Sat May 25 15:50:04 2019,7,old,images/prime/task/B/candle,candle,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,C1081,1081,1,1,1.5,1,1.308530092,NA,B,candle,0,1,0
3,3,8,1,1,1,Sat May 25 15:50:04 2019,5,old,images/prime/task/A/bed,bed,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,C1081,1081,2,1,1.5,1,0.012045145,NA,A,bed,0,1,0
4,4,8,1,1,1,Sat May 25 15:50:04 2019,5,old,images/prime/task/A/horse,horse,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,C1081,1081,3,1,1.5,1,1.103680134,NA,A,horse,0,1,0
5,5,8,1,1,1,Sat May 25 15:50:04 2019,5,old,images/prime/task/A/tree,tree,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,C1081,1081,4,1,1.5,1,0.403718948,NA,A,tree,0,1,0
6,6,8,1,0,1,Sat May 25 15:50:04 2019,6,old,images/prime/task/B/bird,bird,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,C1081,1081,5,1,1.5,1,1.415771961,NA,B,bird,0,1,0
7,7,8,1,0,1,Sat May 25 15:50:04 2019,7,old,images/prime/task/B/umbrella,umbrella,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,C1081,1081,6,1,1.5,1,0.072438955,NA,B,umbrella,0,1,0
8,8,8,1,0,1,Sat May 25 15:50:04 2019,5,old,images/prime/task/B/car,car,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,C1081,1081,7,1,1.5,1,0.85313201,NA,B,car,0,1,0
9,9,8,1,0,1,Sat May 25 15:50:04 2019,6,old,images/prime/task/B/chair,chair,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,C1081,1081,8,1,1.5,1,1.093764067,NA,B,chair,0,1,0
10,10,8,1,0,1,Sat May 25 15:50:04 2019,7,old,images/prime/task/B/ball,ball,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,C1081,1081,9,1,1.5,1,1.067765951,NA,B,ball,0,1,0
11,11,8,1,0,1,Sat May 25 15:50:04 2019,8,old,images/prime/task/B/comb,comb,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,C1081,1081,10,1,1.5,1,0.307011127,NA,B,"cp,b",0,1,0
12,12,8,1,1,1,Sat May 25 15:50:04 2019,4,old,images/prime/task/A/banana,banana,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,C1081,1081,11,1,1.5,1,1.316921949,NA,A,banana,0,1,0
13,13,8,1,1,1,Sat May 25 15:50:04 2019,7,old,images/prime/task/A/shoe,shoe,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,C1081,1081,12,1,1.5,1,0.127229929,NA,A,shoe,0,1,0
14,14,8,1,1,1,Sat May 25 15:50:04 2019,8,old,images/prime/task/A/monkey,monkey,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,C1081,1081,13,1,1.5,1,0.207570076,NA,A,monkey,0,1,0
15,15,8,1,0,1,Sat May 25 15:50:04 2019,5,old,images/prime/task/B/mountain,mountain,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,C1081,1081,14,1,1.5,1,0.511607885,NA,B,mountain,0,1,0
16,16,8,1,0,1,Sat May 25 15:50:04 2019,6,old,images/prime/task/B/camel,camel,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,C1081,1081,15,1,1.5,1,0.025701046,NA,B,camel,0,1,0
17,17,8,1,1,1,Sat May 25 15:50:04 2019,6,old,images/prime/task/A/penguin,penguin,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,C1081,1081,16,1,1.5,1,1.322408199,NA,A,penguin,0,1,0
18,18,8,1,0,1,Sat May 25 15:50:04 2019,6,old,images/prime/task/B/carrot,carrot,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,C1081,1081,17,1,1.5,1,1.420951128,NA,B,carrot,0,1,0
19,19,8,1,1,1,Sat May 25 15:50:04 2019,6,old,images/prime/task/A/cat,cat,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,C1081,1081,18,1,1.5,1,1.204162121,NA,A,cat,0,1,0
20,20,8,1,0,1,Sat May 25 15:50:04 2019,6,old,images/prime/task/B/sock,sock,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,C1081,1081,19,1,1.5,1,1.177088976,NA,B,sock,0,1,0
21,21,8,1,1,1,Sat May 25 15:50:04 2019,6,old,images/prime/task/A/foot,foot,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,C1081,1081,20,1,1.5,1,0.303189993,NA,A,foot,0,1,0
22,22,8,1,1,1,Sat May 25 15:50:04 2019,6,old,images/prime/task/A/snowman,snowman,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,C1081,1081,21,1,1.5,1,0.328298092,NA,A,snowman,0,1,0
23,23,8,1,0,1,Sat May 25 15:50:04 2019,8,old,images/prime/task/B/key,key,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,C1081,1081,22,1,1.5,1,1.003316879,NA,B,key,0,1,0
24,24,8,1,1,1,Sat May 25 15:50:04 2019,6,old,images/prime/task/A/fish,fish,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,C1081,1081,23,1,1.5,1,1.151606083,NA,A,fish,0,1,0
25,25,8,1,1,1,Sat May 25 15:50:04 2019,5,old,images/prime/task/A/kite,kite,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,C1081,1081,24,1,1.5,1,0.536218166,NA,A,kite,0,1,0
26,26,8,1,0,1,Sat May 25 15:50:04 2019,6,old,images/prime/task/B/ear,ear,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,C1081,1081,25,1,1.5,1,0.167793989,NA,B,ear,0,1,0
27,27,8,1,1,1,Sat May 25 15:50:04 2019,6,old,images/prime/task/A/scissors,scissors,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,C1081,1081,26,1,1.5,1,0.245499134,NA,A,scissors,0,1,0
28,28,8,1,0,1,Sat May 25 15:50:04 2019,6,old,images/prime/task/B/apple,apple,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,C1081,1081,27,1,1.5,1,0.563068867,NA,B,apple,0,1,0
