"","age","animation_time_between_frames","appeared_in_n_back_task","condition","date","difficulty","difficulty_category","image_folder_path","image_name","n_back_block_total","n_back_blocks_reversed","n_back_display_time","n_back_focal_image_height","n_back_image_overlap","n_back_interstimulus_interval","n_back_max_difficulty","n_back_max_errors_to_raise_difficulty","n_back_min_errors_to_lower_difficulty","n_back_practice_max_difficulty","n_back_prime_image_height","n_back_prime_list_name","n_back_start_difficulty","n_back_task","n_back_task_critical_age","output_location","participant","participant_num","position","practice_run","prime_image_display_time","prime_task","reaction_time","response_time","set","user_response","younger_than_or_at_critical_age","response_correct","response_uncertain"
"1",9,1,1,3,"Fri May  3 12:00:55 2019",6,"old","images/prime/task/B/mountain","mountain",4,0,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","C10003",10003,0,1,1.5,1,0.149229049683,NA,"B","mountain",0,1,0
"2",9,1,1,3,"Fri May  3 12:00:55 2019",8,"old","images/prime/task/B/comb","comb",4,0,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","C10003",10003,1,1,1.5,1,NA,NA,"B"," comb",0,1,0
"3",9,1,1,3,"Fri May  3 12:00:55 2019",6,"old","images/prime/task/B/sock","sock",4,0,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","C10003",10003,2,1,1.5,1,1.21081995964,NA,"B","scooter",0,0,0
"4",9,1,0,3,"Fri May  3 12:00:55 2019",8,"old","images/prime/task/A/cat","cat",4,0,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","C10003",10003,3,1,1.5,1,0.0686161518097,NA,"A","cat",0,1,0
"5",9,1,1,3,"Fri May  3 12:00:55 2019",3,"old","images/prime/task/B/camel","camel",4,0,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","C10003",10003,4,1,1.5,1,1.34797596931,NA,"B","kangaroo",0,0,0
"6",9,1,1,3,"Fri May  3 12:00:55 2019",4,"old","images/prime/task/B/elephant","elephant",4,0,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","C10003",10003,5,1,1.5,1,1.20461893082,NA,"B","fox",0,0,0
"7",9,1,1,3,"Fri May  3 12:00:55 2019",6,"old","images/prime/task/B/bowl","bowl",4,0,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","C10003",10003,6,1,1.5,1,0.443401098251,NA,"B","cup",0,1,0
"8",9,1,0,3,"Fri May  3 12:00:55 2019",5,"old","images/prime/task/A/truck","truck",4,0,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","C10003",10003,7,1,1.5,1,1.30539798737,NA,"A","truck",0,1,0
"9",9,1,1,3,"Fri May  3 12:00:55 2019",6,"old","images/prime/task/B/hand","hand",4,0,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","C10003",10003,8,1,1.5,1,1.03340005875,NA,"B","dog",0,0,0
"10",9,1,1,3,"Fri May  3 12:00:55 2019",6,"old","images/prime/task/B/apple","apple",4,0,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","C10003",10003,9,1,1.5,1,0.219794988632,NA,"B","apple",0,1,0
"11",9,1,1,3,"Fri May  3 12:00:55 2019",7,"old","images/prime/task/B/chair","chair",4,0,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","C10003",10003,10,1,1.5,1,0.728845119476,NA,"B","chair",0,1,0
"12",9,1,0,3,"Fri May  3 12:00:55 2019",8,"old","images/prime/task/A/foot","foot",4,0,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","C10003",10003,11,1,1.5,1,0.501553058624,NA,"A","foot",0,1,0
"13",9,1,0,3,"Fri May  3 12:00:55 2019",8,"old","images/prime/task/A/watch","watch",4,0,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","C10003",10003,12,1,1.5,1,1.00846600533,NA,"A","belt",0,1,0
"14",9,1,0,3,"Fri May  3 12:00:55 2019",7,"old","images/prime/task/A/piano","piano",4,0,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","C10003",10003,13,1,1.5,1,0.360709905624,NA,"A","piano",0,1,0
"15",9,1,0,3,"Fri May  3 12:00:55 2019",6,"old","images/prime/task/A/clock","clock",4,0,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","C10003",10003,14,1,1.5,1,0.995787858963,NA,"A","clock",0,1,0
"16",9,1,1,3,"Fri May  3 12:00:55 2019",7,"old","images/prime/task/B/ball","ball",4,0,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","C10003",10003,15,1,1.5,1,1.41331911087,NA,"B","ball",0,1,0
"17",9,1,0,3,"Fri May  3 12:00:55 2019",7,"old","images/prime/task/A/pear","pear",4,0,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","C10003",10003,16,1,1.5,1,0.112989902496,NA,"A","pear",0,1,0
"18",9,1,0,3,"Fri May  3 12:00:55 2019",4,"old","images/prime/task/A/hanger","hanger",4,0,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","C10003",10003,17,1,1.5,1,1.15120410919,NA,"A","shoe",0,0,0
"19",9,1,1,3,"Fri May  3 12:00:55 2019",7,"old","images/prime/task/B/sandwich","sandwich",4,0,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","C10003",10003,18,1,1.5,1,0.930877923965,NA,"B","sandwich",0,1,0
"20",9,1,1,3,"Fri May  3 12:00:55 2019",8,"old","images/prime/task/B/bird","bird",4,0,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data","C10003",10003,19,1,1.5,1,1.08189201355,NA,"B","bird",0,1,0
