"","X","age","animation_time_between_frames","appeared_in_n_back_task","condition","date","difficulty","difficulty_category","image_folder_path","image_name","n_back_block_total","n_back_blocks_reversed","n_back_display_time","n_back_focal_image_height","n_back_image_overlap","n_back_interstimulus_interval","n_back_max_difficulty","n_back_max_errors_to_raise_difficulty","n_back_min_errors_to_lower_difficulty","n_back_practice_max_difficulty","n_back_prime_image_height","n_back_prime_list_name","n_back_start_difficulty","n_back_task","n_back_task_critical_age","output_location","participant","participant_num","position","practice_run","prime_image_display_time","prime_task","reaction_time","response_time","set","user_response","younger_than_or_at_critical_age","response_correct","response_uncertain"
"1",1,9,1,0,0,"Sat May 25 14:33:59 2019",5,"old","images/prime/task/B/bird","bird",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","C1078",1078,0,1,1.5,1,1.260340929,NA,"B","bird",0,1,0
"2",2,9,1,0,0,"Sat May 25 14:33:59 2019",8,"old","images/prime/task/B/flower","flower",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","C1078",1078,1,1,1.5,1,0.415776014,NA,"B","flower",0,1,0
"3",3,9,1,1,0,"Sat May 25 14:33:59 2019",6,"old","images/prime/task/A/clock","clock",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","C1078",1078,2,1,1.5,1,0.456011057,NA,"A","clock",0,1,0
"4",4,9,1,0,0,"Sat May 25 14:33:59 2019",6,"old","images/prime/task/B/ball","ball",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","C1078",1078,3,1,1.5,1,1.409215927,NA,"B","ball",0,1,0
"5",5,9,1,1,0,"Sat May 25 14:33:59 2019",6,"old","images/prime/task/A/shoe","shoe",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","C1078",1078,4,1,1.5,1,1.322690964,NA,"A","shoe",0,1,0
"6",6,9,1,0,0,"Sat May 25 14:33:59 2019",7,"old","images/prime/task/B/sandwich","sandwich",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","C1078",1078,5,1,1.5,1,0.237866879,NA,"B","sandwich",0,1,0
"7",7,9,1,0,0,"Sat May 25 14:33:59 2019",8,"old","images/prime/task/B/comb","comb",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","C1078",1078,6,1,1.5,1,1.371654987,NA,"B","comb",0,1,0
"8",8,9,1,0,0,"Sat May 25 14:33:59 2019",6,"old","images/prime/task/B/elephant","elephant",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","C1078",1078,7,1,1.5,1,0.712556839,NA,"B","elephant",0,1,0
"9",9,9,1,0,0,"Sat May 25 14:33:59 2019",7,"old","images/prime/task/B/guitar","guitar",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","C1078",1078,8,1,1.5,1,1.140045166,NA,"B","guitar",0,1,0
"10",10,9,1,1,0,"Sat May 25 14:33:59 2019",5,"old","images/prime/task/A/truck","truck",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","C1078",1078,9,1,1.5,1,1.432604074,NA,"A","truck",0,1,0
