age,animation_time_between_frames,appeared_in_n_back_task,condition,date,difficulty,difficulty_category,image_folder_path,image_name,n_back_block_total,n_back_blocks_reversed,n_back_display_time,n_back_focal_image_height,n_back_image_overlap,n_back_interstimulus_interval,n_back_max_difficulty,n_back_max_errors_to_raise_difficulty,n_back_min_errors_to_lower_difficulty,n_back_practice_max_difficulty,n_back_prime_image_height,n_back_prime_list_name,n_back_start_difficulty,n_back_task,n_back_task_critical_age,output_location,participant,participant_num,position,practice_run,prime_image_display_time,prime_task,reaction_time,response_time,set,user_response,younger_than_or_at_critical_age,response_correct,response_uncertain
9,1,0,1,3/7/2020 1:20:40 PM,7,old,images/prime/task\B\umbrella,umbrella,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,1101,1101,0,1,1.5,1,0.9137217,,B,umbrella,0,1,
9,1,1,1,3/7/2020 1:20:40 PM,7,old,images/prime/task\A\fish,fish,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,1101,1101,1,1,1.5,1,1.0978936,,A,fish,0,1,
9,1,1,1,3/7/2020 1:20:40 PM,6,old,images/prime/task\A\shoe,shoe,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,1101,1101,2,1,1.5,1,1.1916912,,A,shoe,0,1,
9,1,0,1,3/7/2020 1:20:40 PM,7,old,images/prime/task\B\glasses,glasses,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,1101,1101,3,1,1.5,1,1.2675135,,B,glasses,0,1,
9,1,1,1,3/7/2020 1:20:40 PM,6,old,images/prime/task\A\horse,horse,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,1101,1101,4,1,1.5,1,0.5887646,,A,horse,0,1,
9,1,1,1,3/7/2020 1:20:40 PM,6,old,images/prime/task\A\penguin,penguin,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,1101,1101,5,1,1.5,1,1.2049955,,A,penguin,0,1,
9,1,1,1,3/7/2020 1:20:40 PM,7,old,images/prime/task\A\cat,cat,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,1101,1101,6,1,1.5,1,0.1891683,,A,rabbit,0,0,
9,1,1,1,3/7/2020 1:20:40 PM,6,old,images/prime/task\A\tree,tree,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,1101,1101,7,1,1.5,1,1.3943026,,A,tree,0,1,
9,1,1,1,3/7/2020 1:20:40 PM,7,old,images/prime/task\A\ladder,ladder,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,1101,1101,8,1,1.5,1,1.4281437,,A,ladder,0,1,
9,1,0,1,3/7/2020 1:20:40 PM,6,old,images/prime/task\B\pumpkin,pumpkin,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,1101,1101,9,1,1.5,1,0.4815163,,B,pumpkin,0,1,
9,1,1,1,3/7/2020 1:20:40 PM,7,old,images/prime/task\A\hanger,hanger,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,1101,1101,10,1,1.5,1,0.6760399,,A,hanger,0,1,
9,1,1,1,3/7/2020 1:20:40 PM,7,old,images/prime/task\A\clock,clock,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,1101,1101,11,1,1.5,1,0.5167737,,A,clock,0,1,
9,1,1,1,3/7/2020 1:20:40 PM,8,old,images/prime/task\A\monkey,monkey,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,1101,1101,12,1,1.5,1,0.2011986,,A,monkey,0,1,
9,1,1,1,3/7/2020 1:20:40 PM,7,old,images/prime/task\A\watch,watch,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,1101,1101,13,1,1.5,1,0.6628392,,A,watch,0,1,
9,1,0,1,3/7/2020 1:20:40 PM,7,old,images/prime/task\B\hand,hand,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,1101,1101,14,1,1.5,1,0.6683558,,B,hand,0,1,
9,1,1,1,3/7/2020 1:20:40 PM,4,old,images/prime/task\A\table,table,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,1101,1101,15,1,1.5,1,0.6267807,,A,table,0,1,
9,1,0,1,3/7/2020 1:20:40 PM,8,old,images/prime/task\B\ear,ear,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,1101,1101,16,1,1.5,1,0.9018591,,B,ear,0,1,
9,1,0,1,3/7/2020 1:20:40 PM,6,old,images/prime/task\B\apple,apple,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,1101,1101,17,1,1.5,1,0.3889615,,B,apple,0,1,
9,1,0,1,3/7/2020 1:20:40 PM,7,old,images/prime/task\B\camel,camel,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,1101,1101,18,1,1.5,1,0.6567554,,B,camel,0,1,
9,1,1,1,3/7/2020 1:20:40 PM,6,old,images/prime/task\A\pear,pear,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,1101,1101,19,1,1.5,1,1.4467125,,A,pear,0,1,
9,1,1,1,3/7/2020 1:20:40 PM,4,old,images/prime/task\A\kite,kite,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,1101,1101,20,1,1.5,1,0.5942016,,A,kite,0,1,
9,1,0,1,3/7/2020 1:20:40 PM,8,old,images/prime/task\B\sandwich,sandwich,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,1101,1101,21,1,1.5,1,,,B,sandwich,0,1,
9,1,1,1,3/7/2020 1:20:40 PM,5,old,images/prime/task\A\truck,truck,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,1101,1101,22,1,1.5,1,1.1947528,,A,bed,0,0,
9,1,1,1,3/7/2020 1:20:40 PM,6,old,images/prime/task\A\banana,banana,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,1101,1101,23,1,1.5,1,0.8977099,,A,banana,0,1,
9,1,0,1,3/7/2020 1:20:40 PM,8,old,images/prime/task\B\carrot,carrot,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,1101,1101,24,1,1.5,1,0.0494307,,B,carrot,0,1,
9,1,0,1,3/7/2020 1:20:40 PM,7,old,images/prime/task\B\kangaroo,kangaroo,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,1101,1101,25,1,1.5,1,1.3308629,,B,kangeroo,0,1,
9,1,1,1,3/7/2020 1:20:40 PM,6,old,images/prime/task\A\scissors,scissors,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,1101,1101,26,1,1.5,1,0.7395208,,A,scissors,0,1,
9,1,1,1,3/7/2020 1:20:40 PM,4,old,images/prime/task\A\piano,piano,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,1101,1101,27,1,1.5,1,1.3261583,,A,chair,0,0,
9,1,1,1,3/7/2020 1:20:40 PM,6,old,images/prime/task\A\snowman,snowman,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,1101,1101,28,1,1.5,1,0.7130896,,A,snowman,0,1,
9,1,0,1,3/7/2020 1:20:40 PM,7,old,images/prime/task\B\chair,chair,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,1101,1101,29,1,1.5,1,0.1974275,,B,chair,0,1,
9,1,0,1,3/7/2020 1:20:40 PM,5,old,images/prime/task\B\elephant,elephant,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,1101,1101,30,1,1.5,1,1.4478165,,B,elephant,0,1,
9,1,1,1,3/7/2020 1:20:40 PM,4,old,images/prime/task\A\foot,foot,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,1101,1101,31,1,1.5,1,1.299981,,A,foot,0,1,
9,1,0,1,3/7/2020 1:20:40 PM,7,old,images/prime/task\B\key,key,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,1101,1101,32,1,1.5,1,1.2581365,,B,key,0,1,
9,1,0,1,3/7/2020 1:20:40 PM,7,old,images/prime/task\B\comb,comb,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,1101,1101,33,1,1.5,1,0.0214959,,B,comb,0,1,
9,1,0,1,3/7/2020 1:20:40 PM,7,old,images/prime/task\B\flower,flower,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,1101,1101,34,1,1.5,1,0.2091042,,B,flower,0,1,
9,1,0,1,3/7/2020 1:20:40 PM,7,old,images/prime/task\B\sock,sock,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,1101,1101,35,1,1.5,1,0.9014592,,B,sock,0,1,
9,1,0,1,3/7/2020 1:20:40 PM,4,old,images/prime/task\B\bowl,bowl,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,1101,1101,36,1,1.5,1,1.3142132,,B,bowl,0,1,
9,1,1,1,3/7/2020 1:20:40 PM,5,old,images/prime/task\A\bed,bed,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,1101,1101,37,1,1.5,1,0.7656983,,A,bed,0,1,
9,1,0,1,3/7/2020 1:20:40 PM,5,old,images/prime/task\B\mountain,mountain,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,1101,1101,38,1,1.5,1,0.2540619,,B,mountain,0,1,
9,1,0,1,3/7/2020 1:20:40 PM,7,old,images/prime/task\B\candle,candle,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,1101,1101,39,1,1.5,1,1.1029393,,B,candle,0,1,
9,1,0,1,3/7/2020 1:20:40 PM,6,old,images/prime/task\B\ball,ball,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,1101,1101,40,1,1.5,1,1.0922024,,B,ball,0,1,
9,1,0,1,3/7/2020 1:20:40 PM,7,old,images/prime/task\B\bird,bird,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,1101,1101,41,1,1.5,1,0.7853548,,B,bird,0,1,
9,1,0,1,3/7/2020 1:20:40 PM,5,old,images/prime/task\B\car,car,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,1101,1101,42,1,1.5,1,0.8240778,,B,car,0,1,
9,1,0,1,3/7/2020 1:20:40 PM,5,old,images/prime/task\B\guitar,guitar,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,1101,1101,43,1,1.5,1,0.9076111,,B,giraffe,0,0,
9,1,1,1,3/7/2020 1:20:40 PM,7,old,images/prime/task\A\grapes,grapes,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,1101,1101,44,1,1.5,1,1.0876888,,A,grapes,0,1,
9,1,1,1,3/7/2020 1:20:40 PM,7,old,images/prime/task\A\whistle,whistle,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,1101,1101,45,1,1.5,1,1.4299486,,A,whistle,0,1,
