age,animation_time_between_frames,appeared_in_n_back_task,condition,date,difficulty,difficulty_category,image_folder_path,image_name,n_back_block_total,n_back_blocks_reversed,n_back_display_time,n_back_focal_image_height,n_back_image_overlap,n_back_interstimulus_interval,n_back_max_difficulty,n_back_max_errors_to_raise_difficulty,n_back_min_errors_to_lower_difficulty,n_back_practice_max_difficulty,n_back_prime_image_height,n_back_prime_list_name,n_back_start_difficulty,n_back_task,n_back_task_critical_age,output_location,participant,participant_num,position,practice_run,prime_image_display_time,prime_task,reaction_time,response_time,set,user_response,younger_than_or_at_critical_age
7,1,0,2,Sat Nov 23 14:57:16 2019,6,old,images/prime/task/A/ladder,ladder,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,1062,1062,0,1,1.5,1,0.21794295311,,A,slide,0
7,1,1,2,Sat Nov 23 14:57:16 2019,6,old,images/prime/task/B/bowl,bowl,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,1062,1062,1,1,1.5,1,0.694298028946,,B,bowl,0
7,1,0,2,Sat Nov 23 14:57:16 2019,6,old,images/prime/task/A/table,table,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,1062,1062,2,1,1.5,1,1.27753305435,,A,table,0
7,1,0,2,Sat Nov 23 14:57:16 2019,6,old,images/prime/task/A/kite,kite,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,1062,1062,3,1,1.5,1,0.223373889923,,A,kite,0
7,1,0,2,Sat Nov 23 14:57:16 2019,7,old,images/prime/task/A/tree,tree,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,1062,1062,4,1,1.5,1,1.31623196602,,A,tree,0
7,1,1,2,Sat Nov 23 14:57:16 2019,7,old,images/prime/task/B/sandwich,sandwich,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,1062,1062,5,1,1.5,1,0.119030952454,,B,sandwich,0
7,1,1,2,Sat Nov 23 14:57:16 2019,7,old,images/prime/task/B/guitar,guitar,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,1062,1062,6,1,1.5,1,1.33572292328,,B,guitar,0
7,1,0,2,Sat Nov 23 14:57:16 2019,6,old,images/prime/task/A/bed,bed,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,1062,1062,7,1,1.5,1,1.0314540863,,A,bed,0
7,1,0,2,Sat Nov 23 14:57:16 2019,6,old,images/prime/task/A/snowman,snowman,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,1062,1062,8,1,1.5,1,1.28169083595,,A,snowman,0
7,1,1,2,Sat Nov 23 14:57:16 2019,8,old,images/prime/task/B/key,key,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,1062,1062,9,1,1.5,1,0.670506954193,,B,key,0
7,1,0,2,Sat Nov 23 14:57:16 2019,7,old,images/prime/task/A/truck,truck,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,1062,1062,10,1,1.5,1,0.708014011383,,A,truck,0
7,1,1,2,Sat Nov 23 14:57:16 2019,7,old,images/prime/task/B/candle,candle,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,1062,1062,11,1,1.5,1,1.27071595192,,B,candle,0
7,1,0,2,Sat Nov 23 14:57:16 2019,4,old,images/prime/task/A/banana,banana,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,1062,1062,12,1,1.5,1,1.14844298363,,A,banana,0
7,1,1,2,Sat Nov 23 14:57:16 2019,8,old,images/prime/task/B/flower,flower,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,1062,1062,13,1,1.5,1,0.163408041,,B,flower,0
7,1,1,2,Sat Nov 23 14:57:16 2019,7,old,images/prime/task/B/apple,apple,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,1062,1062,14,1,1.5,1,0.33282995224,,B,apple,0
7,1,0,2,Sat Nov 23 14:57:16 2019,6,old,images/prime/task/A/clock,clock,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,1062,1062,15,1,1.5,1,0.167802095413,,A,face,0
7,1,0,2,Sat Nov 23 14:57:16 2019,8,old,images/prime/task/A/watch,watch,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,1062,1062,16,1,1.5,1,0.653460025787,,A,watch,0
7,1,0,2,Sat Nov 23 14:57:16 2019,7,old,images/prime/task/A/cat,cat,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,1062,1062,17,1,1.5,1,1.27126598358,,A,cat,0
7,1,1,2,Sat Nov 23 14:57:16 2019,6,old,images/prime/task/B/pumpkin,pumpkin,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,1062,1062,18,1,1.5,1,0.429691076279,,B,pumpkin,0
7,1,1,2,Sat Nov 23 14:57:16 2019,8,old,images/prime/task/B/bird,bird,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,1062,1062,19,1,1.5,1,0.122514009476,,B,chick,0
7,1,0,2,Sat Nov 23 14:57:16 2019,7,old,images/prime/task/A/pear,pear,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,1062,1062,20,1,1.5,1,0.990200042725,,A,pear,0
7,1,0,2,Sat Nov 23 14:57:16 2019,8,old,images/prime/task/A/grapes,grapes,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,1062,1062,21,1,1.5,1,1.36023616791,,A,grapes,0
7,1,1,2,Sat Nov 23 14:57:16 2019,7,old,images/prime/task/B/umbrella,umbrella,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,1062,1062,22,1,1.5,1,0.610819816589,,B,umbrella,0
7,1,0,2,Sat Nov 23 14:57:16 2019,8,old,images/prime/task/A/penguin,penguin,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,1062,1062,23,1,1.5,1,0.264391899109,,A,penguin,0
7,1,1,2,Sat Nov 23 14:57:16 2019,8,old,images/prime/task/B/hand,hand,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,1062,1062,24,1,1.5,1,1.05702185631,,B,hand,0
7,1,1,2,Sat Nov 23 14:57:16 2019,8,old,images/prime/task/B/ear,ear,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,1062,1062,25,1,1.5,1,,,B,baby,0
7,1,0,2,Sat Nov 23 14:57:16 2019,7,old,images/prime/task/A/piano,piano,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,1062,1062,26,1,1.5,1,1.41296195984,,A,piano,0
7,1,1,2,Sat Nov 23 14:57:16 2019,6,old,images/prime/task/B/camel,camel,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,1062,1062,27,1,1.5,1,0.0182938575745,,B,camel,0
7,1,1,2,Sat Nov 23 14:57:16 2019,5,old,images/prime/task/B/mountain,mountain,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,1062,1062,28,1,1.5,1,0.880823850632,,B,mountain,0
7,1,1,2,Sat Nov 23 14:57:16 2019,6,old,images/prime/task/B/car,car,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,1062,1062,29,1,1.5,1,0.306751966476,,B,car,0
7,1,1,2,Sat Nov 23 14:57:16 2019,7,old,images/prime/task/B/sock,sock,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,1062,1062,30,1,1.5,1,0.85488820076,,B,sock,0
7,1,0,2,Sat Nov 23 14:57:16 2019,6,old,images/prime/task/A/horse,horse,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,1062,1062,31,1,1.5,1,1.31092691422,,A,horse,0
7,1,0,2,Sat Nov 23 14:57:16 2019,7,old,images/prime/task/A/shoe,shoe,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,1062,1062,32,1,1.5,1,1.08380293846,,A,shoe,0
7,1,1,2,Sat Nov 23 14:57:16 2019,8,old,images/prime/task/B/glasses,glasses,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,1062,1062,33,1,1.5,1,,,B,glasses,0
7,1,1,2,Sat Nov 23 14:57:16 2019,8,old,images/prime/task/B/carrot,carrot,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,1062,1062,34,1,1.5,1,0.242652893066,,B,carrot,0
7,1,1,2,Sat Nov 23 14:57:16 2019,7,old,images/prime/task/B/kangaroo,kangaroo,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,1062,1062,35,1,1.5,1,1.34884905815,,B,kangeroo,0
7,1,1,2,Sat Nov 23 14:57:16 2019,7,old,images/prime/task/B/elephant,elephant,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,1062,1062,36,1,1.5,1,0.199187040329,,B,elephant,0
7,1,1,2,Sat Nov 23 14:57:16 2019,8,old,images/prime/task/B/chair,chair,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,1062,1062,37,1,1.5,1,0.941328048706,,B,chair,0
7,1,0,2,Sat Nov 23 14:57:16 2019,8,old,images/prime/task/A/foot,foot,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,1062,1062,38,1,1.5,1,0.812073230743,,A,foot,0
7,1,0,2,Sat Nov 23 14:57:16 2019,8,old,images/prime/task/A/monkey,monkey,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,1062,1062,39,1,1.5,1,0.819708108902,,A,monkey,0
7,1,0,2,Sat Nov 23 14:57:16 2019,6,old,images/prime/task/A/fish,fish,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,1062,1062,40,1,1.5,1,1.42599010468,,A,fish,0
7,1,0,2,Sat Nov 23 14:57:16 2019,8,old,images/prime/task/A/hanger,hanger,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,1062,1062,41,1,1.5,1,0.690973997116,,A,hanger,0
7,1,1,2,Sat Nov 23 14:57:16 2019,6,old,images/prime/task/B/ball,ball,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,1062,1062,42,1,1.5,1,0.525866031647,,B,ball,0
7,1,0,2,Sat Nov 23 14:57:16 2019,7,old,images/prime/task/A/scissors,scissors,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,1062,1062,43,1,1.5,1,0.498594045639,,A,scissors,0
7,1,1,2,Sat Nov 23 14:57:16 2019,8,old,images/prime/task/B/comb,comb,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,1062,1062,44,1,1.5,1,1.01753115654,,B,comb,0
7,1,0,2,Sat Nov 23 14:57:16 2019,8,old,images/prime/task/A/whistle,whistle,4,1,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,1062,1062,45,1,1.5,1,0.605279922485,,A,whistle,0
