"","age","animation_time_between_frames","appeared_in_n_back_task","condition","date","difficulty","difficulty_category","image_folder_path","image_name","n_back_block_total","n_back_blocks_reversed","n_back_display_time","n_back_focal_image_height","n_back_image_overlap","n_back_interstimulus_interval","n_back_max_difficulty","n_back_max_errors_to_raise_difficulty","n_back_min_errors_to_lower_difficulty","n_back_practice_max_difficulty","n_back_prime_image_height","n_back_prime_list_name","n_back_start_difficulty","n_back_task","n_back_task_critical_age","output_location","participant","participant_num","position","practice_run","prime_image_display_time","prime_task","reaction_time","response_time","set","user_response","younger_than_or_at_critical_age","response_correct"
"1",17,1,1,2,"Mon Sep 23 17:10:42 2019",4,"old","images/prime/task/B/car","car",4,1,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data",2006,2006,0,1,1.5,1,1.07875585556,NA,"B","ccar",0,1
"2",17,1,0,2,"Mon Sep 23 17:10:42 2019",4,"old","images/prime/task/A/bed","bed",4,1,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data",2006,2006,1,1,1.5,1,0.769865989685,NA,"A","bed",0,1
"3",17,1,1,2,"Mon Sep 23 17:10:42 2019",5,"old","images/prime/task/B/elephant","elephant",4,1,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data",2006,2006,2,1,1.5,1,0.873615980148,NA,"B","elephant",0,1
"4",17,1,0,2,"Mon Sep 23 17:10:42 2019",5,"old","images/prime/task/A/kite","kite",4,1,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data",2006,2006,3,1,1.5,1,0.33177113533,NA,"A","kite",0,1
"5",17,1,1,2,"Mon Sep 23 17:10:42 2019",6,"old","images/prime/task/B/flower","flower",4,1,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data",2006,2006,4,1,1.5,1,0.917879104614,NA,"B","flower",0,1
"6",17,1,0,2,"Mon Sep 23 17:10:42 2019",6,"old","images/prime/task/A/piano","piano",4,1,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data",2006,2006,5,1,1.5,1,0.956583976746,NA,"A","piano",0,1
"7",17,1,0,2,"Mon Sep 23 17:10:42 2019",7,"old","images/prime/task/A/snowman","snowman",4,1,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data",2006,2006,6,1,1.5,1,0.401987791061,NA,"A","snowman",0,1
"8",17,1,1,2,"Mon Sep 23 17:10:42 2019",5,"old","images/prime/task/B/sandwich","sandwich",4,1,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data",2006,2006,7,1,1.5,1,0.983745098114,NA,"B","sandwich",0,1
"9",17,1,1,2,"Mon Sep 23 17:10:42 2019",3,"old","images/prime/task/B/bowl","bowl",4,1,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data",2006,2006,8,1,1.5,1,1.15728402138,NA,"B","bowl",0,1
"10",17,1,0,2,"Mon Sep 23 17:10:42 2019",6,"old","images/prime/task/A/fish","fish",4,1,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data",2006,2006,9,1,1.5,1,0.398689985275,NA,"A","fish",0,1
"11",17,1,1,2,"Mon Sep 23 17:10:42 2019",6,"old","images/prime/task/B/umbrella","umbrella",4,1,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data",2006,2006,10,1,1.5,1,0.59296298027,NA,"B","umbrella",0,1
"12",17,1,1,2,"Mon Sep 23 17:10:42 2019",5,"old","images/prime/task/B/guitar","guitar",4,1,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data",2006,2006,11,1,1.5,1,0.664023160934,NA,"B","guitar",0,1
"13",17,1,0,2,"Mon Sep 23 17:10:42 2019",7,"old","images/prime/task/A/banana","banana",4,1,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data",2006,2006,12,1,1.5,1,0.434839963913,NA,"A","banana",0,1
"14",17,1,1,2,"Mon Sep 23 17:10:42 2019",3,"old","images/prime/task/B/mountain","mountain",4,1,1,10,1,0.5,3,3,5,2,10,"B",1,1,6,"data",2006,2006,13,1,1.5,1,0.441888809204,NA,"B","mountain",0,1
